City,Mode,Output,Variable,Pearson_r,Spearman_r,SRC,PRCC,abs_Pearson_r,abs_Spearman_r,abs_SRC,abs_PRCC
Atlanta,Gas Truck,Total Cost,Pipeline CC,,,6.223015277861142e-61,,,,6.223015277861142e-61,
Atlanta,Gas Truck,Total Cost,Liquefaction Efficiency,,,0.0,,,,0.0,
Atlanta,Gas Truck,Total Cost,Compression Efficiency,,,0.0,,,,0.0,
Atlanta,Gas Truck,Total GHG Cost,Electricity's CI,0.9965008850598663,0.9965949710753202,0.9963426935524017,0.9998762793721923,0.9965008850598663,0.9965949710753202,0.9963426935524017,0.9998762793721923
Atlanta,Gas Truck,Total GHG Cost,Hydrogen Fuel's CI,0.08027330721975862,0.0786541612486168,0.07910271528850119,0.9800544047080657,0.08027330721975862,0.0786541612486168,0.07910271528850119,0.9800544047080657
Atlanta,Gas Truck,Total GHG Cost,Fuel Economy,-0.02757029273865235,-0.026878093477830815,-0.02432530598611616,-0.8334159487022769,0.02757029273865235,0.026878093477830815,0.02432530598611616,0.8334159487022769
Atlanta,Gas Truck,Total GHG Cost,Cab Cost,0.007004816332411879,0.006791435367428974,3.635531884783787e-05,-0.0048518864773570165,0.007004816332411879,0.006791435367428974,3.635531884783787e-05,0.0048518864773570165
Atlanta,Gas Truck,Total GHG Cost,Fuel Price,0.002189608620798921,0.001925444527676517,0.0001160692285151117,-0.0018931223094663535,0.002189608620798921,0.001925444527676517,0.0001160692285151117,0.0018931223094663535
Atlanta,Gas Truck,Total GHG Cost,Stations,0.0010766558470418314,0.0011946323945363957,-0.000700050307033583,-0.01654476620262675,0.0010766558470418314,0.0011946323945363957,0.000700050307033583,0.01654476620262675
Atlanta,Gas Truck,Total GHG Cost,Utilization,-0.0009671028124712236,-0.001327466547936991,-0.0005630504349675158,-0.016299149964082278,0.0009671028124712236,0.001327466547936991,0.0005630504349675158,0.016299149964082278
Atlanta,Gas Truck,Total GHG Cost,Electricity Cost,,,0.0,,,,0.0,
Atlanta,Gas Truck,Total GHG Cost,Gas Leak,,,-3.469446951953614e-17,,,,3.469446951953614e-17,
Atlanta,Gas Truck,Total GHG Cost,Trans Length,,,1.0408340855860843e-17,,,,1.0408340855860843e-17,
Atlanta,Gas Truck,Total GHG Cost,Gas Station Leak,,,-5.551115123125783e-17,,,,5.551115123125783e-17,
Atlanta,Gas Truck,Total GHG Cost,Gas Trans Leak,,,1.1102230246251565e-16,,,,1.1102230246251565e-16,
Atlanta,Gas Truck,Total GHG Cost,Liquid CC,,,-1.7516230804060213e-45,,,,1.7516230804060213e-45,
Atlanta,Gas Truck,Total GHG Cost,Com CC,,,7.006492321624085e-46,,,,7.006492321624085e-46,
Atlanta,Gas Truck,Total GHG Cost,Station CC,,,-2.4892061111444567e-60,,,,2.4892061111444567e-60,
Atlanta,Gas Truck,Total GHG Cost,Pipeline CC,,,1.9446922743316068e-62,,,,1.9446922743316068e-62,
Atlanta,Gas Truck,Total GHG Cost,Liquefaction Efficiency,,,0.0,,,,0.0,
Atlanta,Gas Truck,Total GHG Cost,Compression Efficiency,,,0.0,,,,0.0,
Atlanta,Liquid Truck,Total Cost,Utilization,-0.05093670831253839,-0.04982282975055031,-0.1263295876478289,-0.010440172072283121,0.05093670831253839,0.04982282975055031,0.1263295876478289,0.010440172072283121
Atlanta,Liquid Truck,Total Cost,Stations,0.05026179557359359,0.049358446816102,-0.07554187554727206,-0.007956164013645807,0.05026179557359359,0.049358446816102,0.07554187554727206,0.007956164013645807
Atlanta,Liquid Truck,Total Cost,Hydrogen Fuel's CI,-0.015527544129412676,-0.016659002967176713,-0.015858352776916135,-0.01702670280861391,0.015527544129412676,0.016659002967176713,0.015858352776916135,0.01702670280861391
Atlanta,Liquid Truck,Total Cost,Cab Cost,0.014448034958336742,0.014019584588653392,0.014742254229776146,0.01425917437350167,0.014448034958336742,0.014019584588653392,0.014742254229776146,0.01425917437350167
Atlanta,Liquid Truck,Total Cost,Fuel Economy,-0.008901088144090488,-0.009027154735368092,-0.008712253265110723,-0.008805496353735955,0.008901088144090488,0.009027154735368092,0.008712253265110723,0.008805496353735955
